epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.3578,1.74531,4.05204,1.68155,0.25994,0.23488,0.16057,0.07515,1.90551,7.24688,1.72045,0.00058,0.00058,0.00058
2,20.2047,1.65007,2.04745,1.56878,0.23423,0.18505,0.10756,0.04083,2.03496,14.9391,2.62275,0.00115664,0.00115664,0.00115664
3,29.4322,1.72033,1.88349,1.6111,0.00832,0.29181,0.0055,0.00187,2.75324,50.3385,2.97376,0.00170951,0.00170951,0.00170951
4,37.9341,1.69032,1.83408,1.61688,0.00467,0.17438,0.00203,0.00062,3.96374,inf,23.601,0.0018812,0.0018812,0.0018812
5,46.2261,1.69861,1.75504,1.58475,0.38959,0.20285,0.1636,0.07519,2.81201,3.05001,2.478,0.0018416,0.0018416,0.0018416
6,54.5574,1.62928,1.6452,1.54678,0.27288,0.2847,0.20281,0.07764,2.10065,3.9511,2.10788,0.001802,0.001802,0.001802
7,63.0239,1.59606,1.5473,1.52792,0.30988,0.31317,0.23708,0.10364,1.97955,4.85133,1.80313,0.0017624,0.0017624,0.0017624
8,71.6417,1.54741,1.52289,1.48825,0.45009,0.40925,0.40206,0.17621,1.80772,3.10426,1.73686,0.0017228,0.0017228,0.0017228
9,79.8093,1.52117,1.47372,1.50767,0.49064,0.39502,0.40825,0.19405,1.83367,2.38061,1.73943,0.0016832,0.0016832,0.0016832
10,87.9135,1.51185,1.43782,1.44752,0.63343,0.53737,0.55501,0.25639,1.71131,1.91068,1.54443,0.0016436,0.0016436,0.0016436
11,95.9905,1.48456,1.38738,1.44681,0.6738,0.51601,0.56443,0.2753,1.5996,1.68432,1.50803,0.001604,0.001604,0.001604
12,104.237,1.43294,1.3696,1.40136,0.56475,0.57651,0.57737,0.29121,1.61,1.79248,1.50017,0.0015644,0.0015644,0.0015644
13,112.288,1.3935,1.30999,1.38901,0.72247,0.53025,0.6426,0.32616,1.56862,1.49783,1.47621,0.0015248,0.0015248,0.0015248
14,120.457,1.37883,1.25601,1.35939,0.63398,0.58007,0.63806,0.34723,1.56866,1.42237,1.47654,0.0014852,0.0014852,0.0014852
15,128.575,1.38297,1.25374,1.3809,0.59875,0.59476,0.58335,0.30678,1.63291,1.43965,1.49764,0.0014456,0.0014456,0.0014456
16,136.708,1.43994,1.35027,1.39829,0.58109,0.51957,0.55044,0.29844,1.55283,1.55891,1.45728,0.001406,0.001406,0.001406
17,144.629,1.35406,1.22574,1.35647,0.64741,0.54804,0.61398,0.33798,1.56089,1.42968,1.43362,0.0013664,0.0013664,0.0013664
18,153.141,1.32172,1.16269,1.35329,0.70493,0.60364,0.66284,0.36793,1.49594,1.33425,1.42215,0.0013268,0.0013268,0.0013268
19,161.684,1.29517,1.26617,1.35496,0.79398,0.60345,0.71447,0.38429,1.6051,1.22228,1.47064,0.0012872,0.0012872,0.0012872
20,170.005,1.33624,1.11384,1.3631,0.6996,0.58844,0.66288,0.37552,1.46334,1.27878,1.36126,0.0012476,0.0012476,0.0012476
21,178.138,1.34167,1.12737,1.34639,0.74793,0.54448,0.65768,0.36173,1.53619,1.33069,1.43779,0.001208,0.001208,0.001208
22,186.274,1.33752,1.17522,1.36528,0.66662,0.5694,0.63119,0.35778,1.53086,1.36113,1.40856,0.0011684,0.0011684,0.0011684
23,194.477,1.24279,1.25267,1.29614,0.72418,0.52325,0.6256,0.35768,1.45969,1.4166,1.37683,0.0011288,0.0011288,0.0011288
24,202.503,1.2863,1.13282,1.30315,0.77514,0.60498,0.70231,0.38278,1.41628,1.24578,1.3531,0.0010892,0.0010892,0.0010892
25,210.658,1.21781,1.09524,1.2808,0.77241,0.6121,0.69309,0.39778,1.43876,1.25129,1.36462,0.0010496,0.0010496,0.0010496
26,219.054,1.22697,1.03666,1.27527,0.78461,0.63701,0.72155,0.40318,1.49515,1.19333,1.37421,0.00101,0.00101,0.00101
27,228.769,1.21915,0.98261,1.26635,0.76069,0.6121,0.71074,0.41079,1.47665,1.11436,1.36736,0.0009704,0.0009704,0.0009704
28,237.262,1.23388,1.02699,1.26572,0.73337,0.60689,0.69822,0.39224,1.466,1.18513,1.36076,0.0009308,0.0009308,0.0009308
29,245.716,1.18729,0.96965,1.2584,0.79731,0.64413,0.75873,0.44433,1.3783,1.09665,1.31717,0.0008912,0.0008912,0.0008912
30,253.881,1.15491,0.92749,1.23886,0.75779,0.66904,0.73108,0.43585,1.42188,1.10562,1.36073,0.0008516,0.0008516,0.0008516
31,261.917,1.19416,0.95399,1.26061,0.74843,0.63345,0.71621,0.41655,1.43238,1.18498,1.37053,0.000812,0.000812,0.000812
32,270.6,1.20258,1.00299,1.25205,0.71992,0.64946,0.69902,0.42792,1.41754,1.18412,1.34662,0.0007724,0.0007724,0.0007724
33,278.778,1.13183,0.91706,1.22018,0.79049,0.64769,0.74326,0.43824,1.44229,1.09222,1.34568,0.0007328,0.0007328,0.0007328
34,287.733,1.11681,0.90329,1.21758,0.72691,0.67256,0.72378,0.42769,1.46298,1.09924,1.35406,0.0006932,0.0006932,0.0006932
35,295.798,1.10042,0.84163,1.1762,0.76445,0.6352,0.73497,0.44188,1.4456,1.13371,1.32577,0.0006536,0.0006536,0.0006536
36,303.978,1.08508,0.87268,1.18977,0.74945,0.68327,0.75311,0.45834,1.33673,1.01456,1.28486,0.000614,0.000614,0.000614
37,312.102,1.11764,0.85735,1.19465,0.8076,0.64769,0.74623,0.44857,1.37618,1.05398,1.32547,0.0005744,0.0005744,0.0005744
38,320.335,1.09975,0.8416,1.17354,0.82499,0.63345,0.73812,0.44689,1.47954,1.08769,1.33291,0.0005348,0.0005348,0.0005348
39,328.543,1.05304,0.79854,1.19333,0.80824,0.66,0.74057,0.4781,1.30298,1.092,1.26152,0.0004952,0.0004952,0.0004952
40,336.845,1.08323,0.83293,1.18587,0.82748,0.68327,0.7846,0.47761,1.3704,1.01087,1.30089,0.0004556,0.0004556,0.0004556
41,364.77,1.03285,0.85621,1.14631,0.75471,0.65836,0.74958,0.46275,1.39942,1.10637,1.31208,0.000416,0.000416,0.000416
42,373.024,0.98309,0.72779,1.0973,0.80151,0.67542,0.77802,0.48804,1.33622,1.00989,1.26549,0.0003764,0.0003764,0.0003764
43,381.002,0.96291,0.72381,1.10839,0.8137,0.66192,0.76706,0.4787,1.35138,1.02751,1.2577,0.0003368,0.0003368,0.0003368
44,388.937,0.99391,0.70539,1.12769,0.74827,0.64527,0.73962,0.47122,1.31381,1.03123,1.27364,0.0002972,0.0002972,0.0002972
45,397.556,0.98746,0.68552,1.14106,0.78656,0.6426,0.75679,0.47574,1.32766,1.01212,1.279,0.0002576,0.0002576,0.0002576
46,405.988,0.91348,0.64679,1.07384,0.79485,0.66181,0.77172,0.49841,1.27675,0.96916,1.26527,0.000218,0.000218,0.000218
47,414.032,0.88964,0.63533,1.05974,0.77122,0.70463,0.77496,0.48777,1.32603,0.99936,1.27042,0.0001784,0.0001784,0.0001784
48,422.277,0.91848,0.63104,1.07146,0.76242,0.70819,0.77617,0.50298,1.27065,0.98216,1.25555,0.0001388,0.0001388,0.0001388
49,430.359,0.89789,0.63103,1.10311,0.77824,0.69751,0.78573,0.49971,1.28296,0.95045,1.26488,9.92e-05,9.92e-05,9.92e-05
50,438.331,0.88278,0.65301,1.04689,0.79071,0.69916,0.78587,0.49729,1.28511,0.94514,1.2666,5.96e-05,5.96e-05,5.96e-05
